date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:21	2728/2728	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202020%2006:04:30%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/view.php	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/view.html	(from )
11:34:22	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2006:04:30%20GMT	http://projectsiot.xyz/robots.txt		(from )
11:34:22	372/372	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2006:04:31%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/'/IoTProjects/walkstick/view.php'	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/'/IoTProjects/walkstick/view.2.delayed	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:24	142041/142041	---M--	200	added ('OK')	text/css	etag:%2270e486f-22ad9-59fb1ae295aef%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/bootstrap/css/bootstrap.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:26	2936/2936	---M--	200	added ('OK')	text/css	etag:%2270e484b-b78-59fb1ae27a956%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.carousel.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:26	936/936	---M--	200	added ('OK')	text/css	etag:%2270e484a-3a8-59fb1ae27a956%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.theme.default.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:27	31000/31000	---M--	200	added ('OK')	text/css	etag:%2270e4866-7918-59fb1ae294767%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:28	16964/16964	---M--	200	added ('OK')	text/css	etag:%2270e4855-4244-59fb1ae2868bf%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/animate/animate.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/animate/animate.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:29	2070/2070	---M--	200	added ('OK')	text/css	etag:%2270e4858-816-59fb1ae286ca7%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/modal-video/css/modal-video.min.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/modal-video/css/modal-video.min.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:29	23601/23601	---M--	200	added ('OK')	text/css	etag:%2270e4839-5c31-59fb1ae272c56%22	http://projectsiot.xyz/IoTProjects/walkstick/css/style.css	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/css/style.css	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:32	7083/7083	---M--	200	added ('OK')	application/javascript	etag:%2270e486c-1bab-59fb1ae295aef%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/jquery/jquery-migrate.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:33	7078/7078	---M--	200	added ('OK')	application/javascript	etag:%2270e4840-1ba6-59fb1ae273426%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/superfish/hoverIntent.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/superfish/hoverIntent.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:34	4474/4474	---M--	200	added ('OK')	application/javascript	etag:%2270e483f-117a-59fb1ae27303e%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/superfish/superfish.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:35	2303/2303	---M--	200	added ('OK')	application/javascript	etag:%2270e4869-8ff-59fb1ae295707%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/easing/easing.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/easing/easing.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:37	12649/12649	---M--	200	added ('OK')	application/javascript	etag:%2270e485b-3169-59fb1ae2893b7%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/modal-video/js/modal-video.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/modal-video/js/modal-video.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:42	70966/70966	---M--	200	added ('OK')	application/javascript	date:Sat,%2029%20Feb%202020%2007:12:43%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/lib/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/bootstrap/js/bootstrap.bundle.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:43	8159/8159	---M--	200	added ('OK')	application/javascript	date:Sat,%2029%20Feb%202020%2007:12:43%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/lib/wow/wow.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/wow/wow.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:44	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2270e486b-15283-59fb1ae295707%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/jquery/jquery.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/jquery/jquery.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:44	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%2270e484f-a70e-59fb1ae27e7d7%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/owl.carousel.min.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:44	3280/3280	---M--	200	added ('OK')	application/javascript	date:Sat,%2029%20Feb%202020%2007:12:43%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/contactform/contactform.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/contactform/contactform.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:34:45	4074/4074	---M--	200	added ('OK')	application/javascript	date:Sat,%2029%20Feb%202020%2007:12:43%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/js/main.js	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/js/main.js	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
11:35:19	1052850/1052850	---M--	200	added ('OK')	image/jpeg	etag:%226f000f2-1010b2-59fb287949311%22	http://projectsiot.xyz/IoTProjects/walkstick/img/aam.jpg	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/img/aam.jpg	(from http://projectsiot.xyz/IoTProjects/walkstick/view.php)
